seq_index;Pgen_estimate
216;8.60299e-12
215;2.7569e-09
213;2.35423e-08
212;1.13848e-08
214;2.09978e-08
217;2.68194e-12
218;1.76683e-10
221;4.02505e-10
220;1.56532e-08
223;5.27512e-09
222;1.22964e-11
224;5.04677e-12
219;1.55062e-09
227;9.79596e-16
225;2.61591e-10
226;5.86535e-09
230;2.33995e-09
228;1.6136e-09
229;8.24232e-09
231;1.26412e-09
232;1.16237e-11
233;5.22041e-11
234;3.88491e-10
235;7.77682e-09
243;nan
239;9.97934e-11
240;3.65908e-10
237;4.66452e-10
236;7.9223e-10
238;8.25014e-10
244;nan
241;1.29632e-11
242;5.44166e-10
247;1.40496e-09
248;3.60434e-15
249;3.61962e-13
245;2.03559e-08
252;1.42807e-09
254;nan
251;5.94285e-10
250;4.09365e-10
256;1.28393e-14
253;1.72469e-12
257;3.54721e-12
255;1.02379e-10
258;2.81786e-11
260;7.63288e-10
259;1.5615e-13
262;7.39638e-15
261;1.03278e-10
269;3.42674e-09
266;5.37561e-11
265;2.75555e-09
264;2.19456e-09
263;2.81849e-09
268;5.04306e-11
267;3.34066e-10
271;3.00982e-10
270;1.73883e-08
272;5.81845e-08
275;6.22703e-10
276;3.2812e-11
279;3.61862e-12
274;1.14229e-09
273;8.04484e-11
277;3.93938e-09
278;4.59832e-09
281;1.63933e-08
280;4.76194e-12
284;3.88783e-09
282;8.78897e-11
283;1.02669e-15
288;nan
286;3.96078e-16
285;1.92559e-10
291;2.25736e-10
289;9.69672e-09
293;1.18299e-09
290;5.08721e-10
292;1.40515e-13
287;1.06223e-11
296;3.35495e-10
294;4.5607e-09
295;7.09231e-10
297;6.98564e-10
300;1.40704e-12
299;2.16782e-10
298;8.64121e-11
302;7.58596e-14
304;4.57406e-09
305;2.07411e-08
303;1.13346e-10
301;6.17131e-16
306;7.38018e-10
307;9.32893e-11
309;1.16023e-12
308;1.02777e-15
311;2.70609e-08
310;2.77537e-09
312;1.44469e-10
313;5.47316e-08
314;1.70177e-08
316;5.53886e-11
315;9.97094e-10
319;3.24165e-09
317;3.44205e-12
322;2.51553e-10
323;2.32655e-11
321;4.05656e-11
246;1.0459e-09
324;1.34526e-10
318;8.22852e-12
327;7.46472e-11
326;7.06461e-08
325;6.66696e-08
330;2.92066e-09
329;1.41938e-09
331;9.07989e-11
332;6.26931e-11
328;1.15104e-14
334;1.91863e-08
333;2.17741e-11
335;7.23964e-13
320;1.07981e-12
