seq_index;Pgen_estimate
9701;5.61829e-08
9697;3.01244e-08
9699;5.62284e-09
9696;7.85891e-10
9694;7.29948e-11
9695;1.96382e-08
9693;1.71302e-08
9692;9.5585e-11
9690;1.10345e-08
9691;8.03167e-12
9689;1.09563e-07
9688;8.98878e-15
9686;1.72265e-08
9687;1.24881e-09
9685;3.20749e-08
9684;2.08601e-12
9698;6.49251e-16
9683;9.6033e-09
9681;2.76946e-07
9680;5.89042e-08
9682;4.05942e-09
9679;6.94446e-08
9676;nan
9678;1.73125e-09
9673;4.71256e-08
9671;4.03607e-10
9674;3.5108e-07
9677;2.72371e-11
9675;4.46971e-09
9672;1.35066e-08
9670;1.77895e-07
9669;4.16245e-09
9665;4.51073e-08
9667;1.72128e-07
9666;4.5853e-12
9668;5.28947e-10
9664;8.239e-08
9663;1.31084e-10
9662;4.866e-08
9656;nan
9661;1.7297e-14
9660;1.5944e-14
9655;3.04082e-08
9658;9.02149e-10
9657;6.47842e-08
9659;9.1076e-11
9654;2.69423e-07
9652;2.79393e-08
9653;4.50772e-08
9650;3.47927e-15
9644;1.07891e-08
9651;1.47718e-07
9649;7.01449e-10
9647;2.57302e-12
9646;2.33692e-08
9648;6.35539e-09
9645;9.44335e-08
9643;5.49563e-08
9642;6.29241e-13
9638;3.9879e-09
9641;8.32582e-09
9636;2.14195e-08
9640;2.61656e-08
9637;9.66964e-09
9639;4.20557e-12
9635;4.59896e-09
9633;1.14323e-08
9631;2.21341e-07
9629;4.02445e-07
9630;2.44513e-12
9628;4.83057e-09
9634;2.28074e-14
9632;2.2185e-09
9626;2.24841e-09
9627;2.88586e-08
9623;3.10975e-08
9625;1.60768e-09
9624;7.1173e-12
9622;1.01618e-08
9620;4.87234e-08
9618;2.8509e-17
9619;6.27791e-13
9621;7.00439e-07
9614;5.38553e-13
9617;2.16694e-10
9616;2.49094e-10
9615;1.43064e-08
9613;3.4557e-07
9611;1.26688e-07
9612;3.05263e-08
9610;4.91928e-10
9609;3.0238e-08
9607;2.59443e-07
9605;3.5248e-10
9608;3.01383e-09
9606;1.14385e-08
9601;2.57029e-08
9603;5.20034e-08
9604;8.3974e-08
9602;6.08899e-09
9600;1.6919e-11
9598;6.66773e-08
9597;2.59034e-07
9599;3.505e-11
9594;6.88397e-08
9596;1.31568e-09
9592;4.26699e-10
9590;3.04063e-08
9591;1.86911e-08
9593;1.66941e-10
9595;8.31187e-13
9589;8.79179e-11
9586;5.49233e-10
9583;3.46652e-08
9584;8.20185e-10
9587;1.39698e-08
9588;3.9402e-08
9585;2.74964e-08
9582;1.81986e-08
9575;nan
9581;8.55686e-10
9579;1.63414e-08
9578;4.88618e-10
9577;1.27408e-13
9580;1.49454e-09
9576;9.22675e-09
9574;1.36017e-08
9573;3.87625e-09
9570;2.23746e-09
9572;4.68943e-09
9571;1.3804e-08
9565;nan
9569;9.03997e-13
9568;5.78723e-10
9567;1.62828e-08
9566;4.76027e-13
9563;5.00581e-09
9560;3.04621e-07
9559;2.00762e-09
9561;2.01829e-10
9558;3.71196e-09
9564;3.18646e-07
9562;1.67017e-08
9557;2.77723e-09
9555;5.6437e-08
9552;9.61275e-10
9553;4.32003e-09
9556;4.04403e-15
9551;3.94584e-09
9550;3.61004e-08
9554;1.46375e-10
9549;2.78169e-09
9547;5.99641e-13
9548;4.6003e-13
9546;1.45211e-07
9543;3.68948e-11
9545;4.20846e-09
9542;2.56332e-08
9541;1.16696e-08
9540;9.96925e-08
9538;6.3546e-11
9539;8.71814e-10
9537;6.51766e-09
9536;4.25343e-08
9535;3.84988e-07
9534;4.89475e-07
9533;2.71289e-12
9532;2.03718e-07
9526;nan
9531;9.82165e-09
9530;1.17141e-07
9529;8.19786e-09
9544;1.45206e-15
9527;2.18489e-07
9525;7.454e-08
9524;1.00258e-09
9528;2.45736e-08
9523;1.89871e-08
9521;4.84069e-08
9522;8.48721e-09
9516;1.73616e-08
9520;4.32096e-10
9514;nan
9519;2.14387e-07
9518;1.25009e-08
9511;1.07057e-10
9512;1.91235e-15
9513;3.41307e-09
9517;4.44135e-09
9509;5.75801e-09
9515;1.97153e-14
9510;4.20611e-09
9508;8.37556e-09
9504;nan
9507;5.87035e-10
9505;2.10831e-08
9502;4.23023e-12
9503;1.90344e-08
9500;3.09122e-09
9506;1.2276e-09
9501;3.11681e-08
9498;3.77807e-10
9496;4.91533e-08
9497;3.01247e-07
9495;1.55924e-08
9499;1.02961e-07
9493;8.68064e-09
9492;2.19129e-08
9494;7.17474e-09
9487;nan
9488;3.00608e-11
9489;5.08019e-08
9484;9.55022e-09
9490;3.1419e-08
9485;3.71819e-13
9486;1.35439e-08
9491;2.29935e-08
9483;1.06278e-07
9479;nan
9481;5.11226e-08
9482;1.27671e-09
9477;1.63344e-07
9480;1.22442e-07
9476;2.93929e-09
9475;4.85643e-08
9474;1.23321e-08
9478;1.72907e-07
9472;3.3898e-07
9470;nan
9473;3.04831e-12
9466;1.84057e-09
9469;9.98538e-11
9471;1.34252e-08
9468;7.93304e-08
9461;nan
9463;8.08994e-09
9464;1.53592e-12
9462;4.5073e-08
9465;1.76973e-08
9467;6.72989e-09
9460;1.37771e-09
9459;4.77762e-09
9458;5.58846e-13
9456;4.49497e-09
9455;1.83028e-08
9453;2.18229e-08
9450;6.82088e-09
9454;4.19158e-09
9457;2.35576e-12
9452;2.88389e-07
9451;8.42051e-08
9448;1.43493e-09
9449;1.20417e-09
9445;4.34683e-07
9443;2.94661e-08
9444;1.11151e-07
9447;1.43967e-10
9446;1.8209e-08
9441;9.30445e-12
9442;3.87949e-08
9440;1.1578e-09
9436;2.43871e-11
9439;7.30843e-13
9438;9.86911e-11
9435;1.23664e-08
9434;6.80958e-08
9437;2.6226e-09
9433;2.27151e-07
9432;6.42437e-08
9427;1.85691e-10
9431;2.10005e-07
9430;2.85146e-11
9429;1.55068e-10
9426;4.00639e-09
9425;1.74873e-08
9428;2.87174e-11
9424;8.6728e-07
9422;9.89078e-08
9423;3.08084e-15
9420;3.89875e-09
9414;nan
9421;4.20097e-08
9415;7.78326e-09
9418;8.04262e-09
