seq_index;Pgen_estimate
2646;4.16763e-11
2647;2.63626e-14
2655;2.11176e-14
2645;8.00257e-13
2642;6.98517e-12
2644;7.35708e-11
2686;5.64283e-23
2643;6.16505e-13
2638;3.74872e-09
2636;1.52418e-11
2635;2.52124e-13
2640;2.8978e-15
2639;1.15759e-18
2633;2.63674e-10
2634;9.85413e-11
2641;9.34206e-20
2632;2.05761e-14
2631;5.38322e-12
2630;2.62643e-12
2628;1.08534e-12
2629;2.4022e-11
2649;5.42471e-15
2626;2.87519e-17
2627;1.33079e-13
2625;1.97108e-12
2624;3.00135e-13
2648;9.21255e-16
2619;1.91885e-13
2620;5.63585e-11
2621;1.72321e-11
2617;1.90322e-13
2618;5.96625e-14
2616;3.20718e-11
2622;1.17881e-11
2623;4.58694e-14
2615;1.20464e-14
2614;1.24377e-13
2611;3.09456e-13
2613;5.54908e-14
2607;9.61163e-12
2637;1.74675e-15
2609;6.66309e-11
2606;1.29825e-10
2608;3.73518e-12
2612;8.49214e-13
2610;3.26695e-11
2604;6.12444e-15
2605;4.09253e-13
2602;4.07075e-11
2598;5.63809e-10
2599;3.5359e-11
2600;3.313e-13
2601;1.8792e-12
2596;4.39058e-14
2595;3.39388e-14
2603;1.3848e-10
2593;6.6231e-10
2594;1.32325e-10
2591;3.02641e-10
2597;9.93733e-13
2590;1.09248e-08
2592;5.51292e-10
2582;1.38354e-11
2589;1.03114e-10
2588;1.5477e-10
2587;1.17532e-09
2586;1.16598e-12
2583;2.28364e-09
2585;7.27845e-10
2578;9.71165e-09
2575;1.74899e-09
2576;5.82563e-11
2584;8.04507e-13
2581;3.80097e-12
2579;3.04186e-12
2572;7.62667e-09
2574;1.24946e-11
2577;9.85078e-11
2571;4.45195e-12
2569;8.66168e-13
2570;4.40386e-13
2567;7.90279e-12
2573;8.57403e-14
2568;7.1593e-13
2566;4.50607e-15
2565;3.60585e-14
2580;1.30768e-13
2559;1.5503e-11
2561;2.27435e-11
2562;9.61214e-15
2555;6.17773e-10
2553;3.83648e-10
2558;5.4774e-11
2560;6.04871e-11
2556;1.25172e-11
2564;7.60069e-16
2548;nan
2552;6.47791e-12
2563;1.17848e-12
2554;1.16762e-10
2551;3.3748e-11
2547;4.60018e-21
2557;1.02338e-12
2549;6.31014e-19
2540;7.36634e-24
2544;7.43497e-17
2541;2.66567e-19
2543;1.69472e-16
2537;6.01336e-11
2539;9.1381e-15
2536;1.95986e-11
2538;2.02969e-13
2532;3.70147e-13
2534;5.37179e-13
2545;1.69292e-17
2533;9.59293e-15
2546;2.52433e-20
2531;2.752e-12
2529;6.02351e-12
2526;3.21243e-11
2527;6.57041e-11
2528;7.76001e-12
2530;1.77428e-11
2524;5.14633e-19
2521;6.57927e-12
2523;2.2051e-16
2550;2.47751e-18
2520;4.81404e-15
2518;8.58251e-13
2525;5.84522e-19
2519;8.03492e-15
2522;1.86434e-16
2535;2.52682e-17
2517;5.32087e-14
2542;2.05477e-21
2516;1.4077e-14
2514;2.61219e-13
2510;7.06805e-17
2511;9.09794e-13
2512;8.38389e-13
2508;2.56122e-13
2515;3.02909e-12
2509;8.08374e-13
2505;1.12342e-11
2507;2.80425e-11
2506;8.94866e-12
2502;4.37234e-14
2513;1.01992e-16
2501;5.09664e-11
2497;8.64887e-11
2504;3.74158e-12
2499;7.24533e-14
2503;1.33936e-14
2498;1.38936e-15
2493;1.4517e-10
2500;1.37297e-11
2494;1.04148e-12
2492;5.63767e-14
2496;9.91682e-14
2491;4.95252e-12
2490;3.81036e-11
2486;1.2187e-14
2484;5.73276e-11
2495;7.37888e-16
2488;4.86133e-14
2489;1.21123e-14
2485;1.29025e-14
2487;5.55908e-14
2480;6.82291e-20
2478;1.50483e-17
2474;2.85635e-14
2476;2.73081e-15
2473;7.41275e-13
2472;1.5665e-13
2481;1.55688e-15
2475;4.14619e-20
2471;7.4042e-15
2483;1.75734e-15
2477;1.30153e-19
2469;8.36852e-15
2482;9.56986e-15
2465;3.95562e-15
2468;9.78813e-16
2467;7.6332e-14
2466;8.11349e-11
2470;2.59419e-15
2479;1.37444e-21
2462;2.02161e-13
2460;1.29557e-15
2464;3.65905e-18
2459;6.51713e-13
2458;2.56293e-20
2463;1.12919e-19
2461;3.8695e-15
2457;2.75234e-15
2455;2.66986e-13
2451;1.78329e-10
2456;7.23192e-14
2450;4.08876e-15
2448;1.35927e-16
2449;4.29372e-15
2447;5.85168e-16
2452;1.00484e-13
2442;1.04854e-12
2454;1.01412e-15
2445;6.4389e-12
2446;1.15355e-13
2453;6.12574e-13
2437;1.36816e-16
2439;1.88622e-14
2444;5.38002e-12
2443;2.47475e-11
2440;1.04829e-15
2436;5.61883e-14
2433;3.93269e-14
2435;3.641e-14
2434;6.03195e-13
2432;4.63785e-17
2430;1.20558e-11
2429;4.62948e-17
2441;7.21008e-18
2431;3.09338e-14
2428;1.01779e-19
2438;2.45222e-14
2427;2.2053e-21
2422;4.14412e-14
2423;6.88186e-16
2426;6.14714e-16
2425;1.61426e-14
2421;2.55856e-14
2424;8.54748e-16
2419;4.20383e-12
2415;1.37149e-14
2417;9.82889e-12
2412;4.7847e-17
2420;3.67263e-15
2416;1.80928e-12
2418;3.08837e-16
2413;8.90159e-17
2414;6.40022e-16
2410;1.18969e-13
2409;1.38494e-15
2411;1.27494e-17
2408;7.36945e-15
2406;5.7052e-15
2404;1.04675e-15
2405;1.94752e-12
2401;1.29107e-12
2400;1.02314e-14
2402;3.58695e-16
2407;1.19705e-11
2399;1.20223e-14
2398;1.15018e-17
2394;5.80776e-14
2403;3.33789e-15
2389;1.31616e-11
2396;2.26032e-11
2391;4.58398e-13
2388;7.60661e-15
2395;1.04529e-13
2397;5.50315e-15
2383;2.32823e-12
2386;2.70206e-16
2392;4.40223e-18
2393;5.3566e-14
2390;1.07373e-13
2380;1.06897e-14
2385;3.04243e-17
2387;2.14528e-13
2381;1.3287e-15
2384;2.02602e-17
2374;2.8216e-13
2377;7.7173e-12
2379;5.67522e-17
2376;1.07391e-12
2378;1.87268e-13
2368;2.70298e-13
2372;4.59042e-14
2371;4.65359e-14
2369;7.64803e-21
2367;3.48386e-17
2370;6.69171e-18
2375;1.93144e-17
2363;1.72292e-13
2366;2.8172e-12
2360;2.55401e-16
2358;8.20256e-14
2373;2.65655e-18
2357;6.92108e-14
2359;3.843e-15
2354;5.66908e-12
2355;8.46052e-14
2353;6.06576e-11
2352;1.24906e-13
2382;4.09807e-27
2361;1.20581e-17
2364;4.72344e-18
2362;5.59392e-17
2349;8.46802e-19
2351;2.67479e-17
2346;5.66274e-24
2347;1.1296e-22
2356;2.56114e-18
2342;2.81635e-09
2345;1.52375e-15
2344;7.6592e-18
2340;7.98866e-13
2350;1.7551e-25
2343;9.43479e-19
2341;4.75786e-15
2348;1.10623e-21
2338;6.36678e-12
2332;nan
2331;nan
2339;2.4317e-19
2336;3.03358e-17
2333;9.05363e-22
2334;2.67581e-13
2335;3.01819e-12
2337;2.6232e-19
2329;1.9809e-12
2326;1.27538e-17
2327;3.79562e-15
2328;7.86188e-17
2324;1.0359e-16
2321;1.31464e-17
2320;3.64692e-14
2319;1.46861e-12
2325;1.46492e-18
2322;2.39638e-25
2316;1.51039e-17
2315;6.74876e-17
2314;1.80174e-16
2318;2.93277e-17
2317;4.26994e-15
2323;1.579e-19
2311;6.39804e-16
2312;5.81717e-16
2313;3.24317e-19
2330;3.14027e-19
2310;5.89894e-13
2306;1.13514e-15
2307;1.03317e-14
2309;6.61464e-20
2308;2.6625e-18
2302;2.49045e-17
2304;2.27155e-17
2305;5.45299e-16
2303;3.16265e-21
2301;1.14851e-15
